filename,sample,co2,ppm,Land_Management,Treatment,date,Rep,sample_day,mass_CO2,mass_C,C_rate,C_rate_mg,cum_C,mg_cum_C
141020,13XylNTHRep4_unk-0032_10202014_40.qgd,TIC,1156.26204238921,NTH,13X,2014-10-20,4,0,5.054326600168428e-4,1.3794027901527605e-4,0,0,1.3794027901527605e-4,0.13794027901527606
141020,H2ONTHRep4_unk-0033_10202014_41.qgd,TIC,1104.0462427745665,NTH,H2O,2014-10-20,4,0,4.826077556901365e-4,1.3171101462381798e-4,0,0,1.3171101462381798e-4,0.13171101462381798
141021_b_44,12ConPTHRep1_unk-0002_10212014_10.qgd,44,5083.887741836813,PTH,12C,2014-10-21,1,1,0.0022290944247426734,6.083538544781697e-4,2.5348077269923738e-5,0.025348077269923736,6.430971491219367e-4,0.6430971491219367
141021_b_44,13XylPTHRep1_unk-0003_10212014_11.qgd,44,4453.773801330581,PTH,13X,2014-10-21,1,1,0.0019528130544487648,5.329524561914136e-4,2.22063523413089e-5,0.0222063523413089,5.874667514829721e-4,0.5874667514829721
141021_b_44,12ConNTHRep1_unk-0004_10212014_12.qgd,44,9540.108587596544,NTH,12C,2014-10-21,1,1,0.004177295886813259,0.0011400477367987743,4.750198903328226e-5,0.04750198903328226,0.0011867612693243481,1.1867612693243481
141021_b_44,13XylNTHRep1_unk-0005_10212014_13.qgd,44,7633.325686319492,NTH,13X,2014-10-21,1,1,0.003342379145833358,9.121862285981472e-4,3.80077595249228e-5,0.038007759524922795,9.811427347317103e-4,0.9811427347317103
141021_b_44,12ConPTHRep2_unk-0006_10212014_14.qgd,44,4570.0084117152255,PTH,12C,2014-10-21,2,1,0.0020049328193380775,5.471767346755202e-4,2.279903061148001e-5,0.022799030611480007,6.987731638707863e-4,0.6987731638707863
141021_b_44,12ConNTHRep2_unk-0007_10212014_15.qgd,44,4212.2811042287985,NTH,12C,2014-10-21,2,1,0.001842440129490401,5.028300021656262e-4,2.0951250090234424e-5,0.020951250090234425,6.070201297048791e-4,0.6070201297048791
141021_b_44,13XylNTHRep2_unk-0008_10212014_16.qgd,44,8109.505238204481,NTH,13X,2014-10-21,2,1,0.0035470752097196655,9.680509053383982e-4,4.033545438909993e-5,0.040335454389099926,0.0010739078778528633,1.0739078778528635
141021_b_44,12ConNTHRep3_unk-0009_10212014_17.qgd,44,7236.139787413015,NTH,12C,2014-10-21,3,1,0.0031667661190149564,8.64258756089267e-4,3.6010781503719454e-5,0.036010781503719454,9.07307795262946e-4,0.907307795262946
